id,label,city,specialty,classification,commercial_status
VEN-0278,مجموعة الدرع الأمن السيبراني 278,الدمام,الخدمات السحابية,مسجل,نشط
VEN-0279,شركة المعرفة التدريب 279,مكة المكرمة,تكامل الأنظمة,استراتيجي,نشط
VEN-0280,مؤسسة المنارة الحلول الرقمية 280,المدينة المنورة,الحلول الرقمية,معتمد,نشط
VEN-0281,مجموعة المسار تحليل البيانات 281,أبها,الاستشارات,مسجل,نشط
VEN-0282,شركة الواحة الخدمات السحابية 282,تبوك,الأمن السيبراني,استراتيجي,نشط
VEN-0283,مؤسسة البوصلة الاستشارات 283,القصيم,تحليل البيانات,معتمد,نشط
VEN-0284,مجموعة المدار البنية التحتية 284,حائل,البنية التحتية,مسجل,نشط
VEN-0285,شركة الرؤية تكامل الأنظمة 285,جازان,التدريب,استراتيجي,نشط
VEN-0286,مؤسسة الربط الأمن السيبراني 286,نجران,الخدمات السحابية,معتمد,نشط
VEN-0287,مجموعة الصفوة التدريب 287,الأحساء,تكامل الأنظمة,مسجل,نشط
VEN-0288,شركة الرواد الحلول الرقمية 288,الرياض,الحلول الرقمية,استراتيجي,نشط
VEN-0289,مؤسسة النخبة تحليل البيانات 289,جدة,الاستشارات,معتمد,نشط
VEN-0290,مجموعة الريادة الخدمات السحابية 290,الدمام,الأمن السيبراني,مسجل,نشط
VEN-0291,شركة الحلول الاستشارات 291,مكة المكرمة,تحليل البيانات,استراتيجي,نشط
VEN-0292,مؤسسة القمم البنية التحتية 292,المدينة المنورة,البنية التحتية,معتمد,نشط
VEN-0293,مجموعة الآفاق تكامل الأنظمة 293,أبها,التدريب,مسجل,نشط
VEN-0294,شركة الإتقان الأمن السيبراني 294,تبوك,الخدمات السحابية,استراتيجي,نشط
VEN-0295,مؤسسة السحابة التدريب 295,القصيم,تكامل الأنظمة,معتمد,نشط
VEN-0296,مجموعة التكامل الحلول الرقمية 296,حائل,الحلول الرقمية,مسجل,نشط
VEN-0297,شركة الركائز تحليل البيانات 297,جازان,الاستشارات,استراتيجي,نشط
VEN-0298,مؤسسة التميز الخدمات السحابية 298,نجران,الأمن السيبراني,معتمد,نشط
VEN-0299,مجموعة الابتكار الاستشارات 299,الأحساء,تحليل البيانات,مسجل,نشط
VEN-0300,شركة البيان البنية التحتية 300,الرياض,البنية التحتية,استراتيجي,نشط
